customer_id,customer_name,recency,frequency,monetary,avg_discount,avg_profit,total_quantity,last_order_date,r_score,f_score,m_score,rfm_total,rfm_score,rfm_segment
CS-118451,Cari Sayre,16,11,16655,0.1630769230769231,115.21467692307692,101,2014-12-16,4,4,4,12,444,VIP Customers
BF-110051,Barry Franz,9,9,14563,0.16652173913043478,98.80386521739132,88,2014-12-23,4,4,4,12,444,VIP Customers
AB-101054,Adrian Barton,42,10,14476,0.24,272.240275,73,2014-11-20,4,4,4,12,444,VIP Customers
EM-139601,Eric Murdock,3,16,14324,0.10125,64.27025625,146,2014-12-29,4,4,4,12,444,VIP Customers
DL-133152,Delfina Latchford,19,9,13191,0.04230769230769231,86.28709615384615,127,2014-12-13,4,4,4,12,444,VIP Customers
SE-201104,Sanjit Engle,10,11,12209,0.1105263157894737,139.50931052631577,78,2014-12-22,4,4,4,12,444,VIP Customers
ZC-219102,Zuschuss Carroll,4,11,11854,0.25925925925925924,-17.204111111111107,123,2014-12-28,4,4,4,12,444,VIP Customers
GT-147104,Greg Tran,37,11,11821,0.1,74.6009275862069,106,2014-11-25,4,4,4,12,444,VIP Customers
PB-192101,Phillip Breyer,33,8,11654,0.15708333333333332,56.898275000000005,80,2014-11-29,4,4,4,12,444,VIP Customers
NH-186101,Nicole Hansen,21,9,11557,0.21171428571428572,71.83509428571428,125,2014-12-11,4,4,4,12,444,VIP Customers
NC-186251,Noah Childs,21,15,11491,0.05357142857142857,75.37735714285715,113,2014-12-11,4,4,4,12,444,VIP Customers
BE-114551,Brad Eason,28,9,11483,0.22625000000000003,-6.227487499999998,97,2014-12-04,4,4,4,12,444,VIP Customers
CM-118302,Cari MacIntyre,7,11,11303,0.12666666666666665,61.47745,112,2014-12-25,4,4,4,12,444,VIP Customers
DJ-134202,Denny Joy,23,11,11158,0.08541666666666668,51.89675,92,2014-12-09,4,4,4,12,444,VIP Customers
AF-108701,Art Ferguson,7,14,10793,0.22944444444444445,-11.434041666666667,137,2014-12-25,4,4,4,12,444,VIP Customers
BE-113351,Bill Eplett,36,9,10731,0.05352941176470588,91.5565588235294,155,2014-11-26,4,4,4,12,444,VIP Customers
JF-151901,Jamie Frazer,7,10,10692,0.09791666666666667,117.22068750000001,91,2014-12-25,4,4,4,12,444,VIP Customers
BM-117851,Bryan Mills,41,14,10399,0.15147058823529413,27.413497058823527,115,2014-11-21,4,4,4,12,444,VIP Customers
DK-130901,Dave Kipp,9,18,10186,0.1038709677419355,45.03681290322581,103,2014-12-23,4,4,4,12,444,VIP Customers
CL-127001,Craig Leslie,9,9,10184,0.1645,62.12438999999999,78,2014-12-23,4,4,4,12,444,VIP Customers
MC-176353,Matthew Clasen,6,13,10126,0.020689655172413796,73.03020689655172,122,2014-12-26,4,4,4,12,444,VIP Customers
RB-193601,Raymond Buch,21,8,10106,0.06807692307692308,19.618523076923076,106,2014-12-11,4,4,4,12,444,VIP Customers
HM-148602,Harry Marie,2,11,9940,0.11774193548387096,76.94854838709676,120,2014-12-30,4,4,4,12,444,VIP Customers
EB-138402,Ellis Ballard,3,10,9895,0.061764705882352944,203.50941176470587,62,2014-12-29,4,4,4,12,444,VIP Customers
JE-157151,Joe Elijah,10,12,9856,0.16592592592592595,59.46203333333333,121,2014-12-22,4,4,4,12,444,VIP Customers
JL-158354,John Lee,22,11,9799,0.08823529411764706,6.732558823529411,143,2014-12-10,4,4,4,12,444,VIP Customers
MP-181751,Mike Pelletier,23,13,9796,0.2673684210526316,-27.704036842105257,69,2014-12-09,4,4,4,12,444,VIP Customers
DL-133301,Denise Leinenbach,13,10,9729,0.05416666666666667,75.70174999999999,83,2014-12-19,4,4,4,12,444,VIP Customers
MD-173503,Maribeth Dona,27,13,9657,0.057357142857142863,61.809697142857146,103,2014-12-05,4,4,4,12,444,VIP Customers
NF-183852,Natalie Fritzler,8,13,9656,0.16666666666666666,10.837312499999996,104,2014-12-24,4,4,4,12,444,VIP Customers
KH-163301,Katharine Harms,17,11,9625,0.11599999999999999,112.472505,72,2014-12-15,4,4,4,12,444,VIP Customers
MF-182502,Monica Federle,40,13,9618,0.08478260869565217,62.794826086956526,98,2014-11-22,4,4,4,12,444,VIP Customers
SE-201102,Sanjit Engle,35,11,9380,0.04318181818181818,97.24540909090909,85,2014-11-27,4,4,4,12,444,VIP Customers
SP-206201,Stefania Perrino,6,8,9224,0.10888888888888888,54.908211111111115,103,2014-12-26,4,4,4,12,444,VIP Customers
TB-214001,Tom Boeckenhauer,26,7,9033,0.14615384615384613,39.22546153846154,90,2014-12-06,4,4,4,12,444,VIP Customers
MG-176801,Maureen Gastineau,37,13,9028,0.19606060606060607,34.68733636363636,130,2014-11-25,4,4,4,12,444,VIP Customers
AM-103602,Alice McCarthy,22,11,8940,0.06666666666666668,113.11914285714286,75,2014-12-10,4,4,4,12,444,VIP Customers
SB-201701,Sarah Bern,34,7,8934,0.0505,121.09372499999999,71,2014-11-28,4,4,4,12,444,VIP Customers
BT-116801,Brian Thompson,19,10,8849,0.07263157894736842,103.67332105263158,65,2014-12-13,4,4,4,12,444,VIP Customers
RB-193302,Randy Bradley,16,12,8650,0.05,130.20913636363636,83,2014-12-16,4,4,4,12,444,VIP Customers
PK-190754,Pete Kriz,10,12,8646,0.07600000000000001,81.530704,107,2014-12-22,4,4,4,12,444,VIP Customers
JJ-157602,Joel Jenkins,3,13,8606,0.125,13.321599999999997,111,2014-12-29,4,4,4,12,444,VIP Customers
HJ-148751,Heather Jas,37,13,8541,0.10666666666666666,32.80521111111111,95,2014-11-25,4,4,4,12,444,VIP Customers
GZ-144702,Gary Zandusky,8,8,8432,0.125,96.82425,51,2014-12-24,4,4,4,12,444,VIP Customers
JC-153402,Jasper Cacioppo,35,11,8333,0.22307692307692306,-40.266807692307694,112,2014-11-27,4,4,4,12,444,VIP Customers
PG-188201,Patrick Gardner,36,11,8315,0.13375,47.2454,93,2014-11-26,4,4,4,12,444,VIP Customers
TC-211451,Theresa Coyne,12,11,8279,0.2237037037037037,18.512700000000002,138,2014-12-20,4,4,4,12,444,VIP Customers
HM-148604,Harry Marie,3,10,8236,0.231,121.89917999999997,76,2014-12-29,4,4,4,12,444,VIP Customers
KN-164501,Kean Nguyen,38,10,8187,0.07909090909090909,74.46064090909091,73,2014-11-24,4,4,4,12,444,VIP Customers
SV-209351,Susan Vittorini,17,10,8174,0.14521739130434783,18.001369565217395,68,2014-12-15,4,4,4,12,444,VIP Customers
JM-152501,Janet Martin,36,8,8163,0.0785,55.403715,73,2014-11-26,4,4,4,12,444,VIP Customers
Dl-136001,Dorris liebe,6,8,8124,0.23894736842105263,63.14033684210526,66,2014-12-26,4,4,4,12,444,VIP Customers
RD-195852,Rob Dowd,26,9,8108,0.024,47.434079999999994,85,2014-12-06,4,4,4,12,444,VIP Customers
DB-134051,Denny Blanton,29,8,8105,0.14875,84.220275,74,2014-12-03,4,4,4,12,444,VIP Customers
SC-202301,Scot Coram,30,10,8083,0.10434782608695652,58.937347826086956,76,2014-12-02,4,4,4,12,444,VIP Customers
MG-178901,Michael Granlund,27,8,7964,0.2935,-27.963704999999997,84,2014-12-05,4,4,4,12,444,VIP Customers
JL-151302,Jack Lebron,22,8,7903,0.14444444444444446,40.411833333333334,77,2014-12-10,4,4,4,12,444,VIP Customers
KD-162701,Karen Daniels,37,9,7873,0.12470588235294118,70.46135294117647,63,2014-11-25,4,4,4,12,444,VIP Customers
TZ-214453,Tom Zandusky,9,15,7853,0.16488235294117648,-19.261664705882353,110,2014-12-23,4,4,4,12,444,VIP Customers
JG-158052,John Grady,1,15,7843,0.06428571428571428,32.35285714285714,149,2014-12-31,4,4,4,12,444,VIP Customers
JW-152201,Jane Waco,13,11,7827,0.13526315789473686,54.537647368421055,87,2014-12-19,4,4,4,12,444,VIP Customers
RA-199153,Russell Applegate,28,8,7801,0.13694736842105265,60.40801684210527,68,2014-12-04,4,4,4,12,444,VIP Customers
RE-194051,Ricardo Emerson,29,10,7787,0.15772727272727274,53.22855,75,2014-12-03,4,4,4,12,444,VIP Customers
LC-168854,Lena Creighton,17,12,7662,0.1565217391304348,56.01508260869565,93,2014-12-15,4,4,4,12,444,VIP Customers
GG-146502,Greg Guthrie,34,10,7619,0.05800000000000001,52.74816,90,2014-11-28,4,4,4,12,444,VIP Customers
MC-176351,Matthew Clasen,36,10,7576,0.12000000000000001,69.97687894736842,67,2014-11-26,4,4,4,12,444,VIP Customers
TP-211301,Theone Pippenger,3,10,7533,0.25892857142857145,-34.507157142857146,103,2014-12-29,4,4,4,12,444,VIP Customers
SZ-200351,Sam Zeldin,14,11,7512,0.19782608695652174,82.27108695652174,96,2014-12-18,4,4,4,12,444,VIP Customers
PO-188504,Patrick O'Brill,5,11,7475,0.21,1.7488954545454547,91,2014-12-27,4,4,4,12,444,VIP Customers
ZC-219101,Zuschuss Carroll,37,7,7448,0.10733333333333334,126.74917999999998,68,2014-11-25,4,4,4,12,444,VIP Customers
CD-119202,Carlos Daly,3,9,7413,0.06136363636363637,57.87790909090909,86,2014-12-29,4,4,4,12,444,VIP Customers
CW-119052,Carl Weiss,9,8,7410,0.07352941176470588,115.0794705882353,86,2014-12-23,4,4,4,12,444,VIP Customers
RB-194651,Rick Bensley,15,9,7408,0.08,52.9314,102,2014-12-17,4,4,4,12,444,VIP Customers
FO-143052,Frank Olsen,28,13,7365,0.075,64.29112500000001,90,2014-12-04,4,4,4,12,444,VIP Customers
NF-183851,Natalie Fritzler,41,10,7362,0.08478260869565218,84.43304347826087,74,2014-11-21,4,4,4,12,444,VIP Customers
